lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
108853,2948,108853,1.68,7,2,5,2120,60.0,63,2120
11366,44457,44457,2.57,5,2,5,2120,274.1,63,2120
382440,133,382440,0.99,4,4,5,190319,38.1,63,190319
153561,44457,11366,0.93,6,5,5,11366,145.0,63,11366
2948,257541,382440,1.82,1,4,5,2948,76.4,63,190319
153561,133,382440,1.21,2,2,5,153561,281.7,63,153561
2120,44457,133,2.96,1,3,5,257541,24.1,63,257541
2120,382440,257541,1.58,8,5,5,257541,215.1,63,2948
44457,2948,44457,2.15,5,3,5,190319,43.7,63,153561
2948,44457,44457,1.32,3,0,5,2948,22.6,63,2948
153561,133,108853,2.49,7,5,5,2120,133.3,63,2120
257541,2948,257541,1.01,2,1,5,257541,228.3,63,108853
2120,44457,2120,1.75,5,0,5,2120,60.0,63,2120
2120,11366,44457,1.43,4,3,5,2948,121.1,63,2948
257541,44457,382440,2.78,6,5,5,2120,288.9,63,2120
2120,190319,2948,1.48,8,1,5,190319,246.0,63,2948
11366,257541,190319,0.95,7,2,5,153561,73.5,63,153561
257541,190319,108853,2.68,1,5,5,2948,3.4,63,2948
190319,133,257541,2.77,1,2,5,108853,211.6,63,108853
108853,190319,108853,1.06,3,4,5,382440,29.0,63,382440
190319,2948,2948,2.3,2,3,5,382440,121.5,63,257541
153561,2120,44457,0.54,1,4,5,11366,155.7,63,11366
44457,190319,11366,1.77,1,1,5,11366,5.0,63,11366
133,153561,153561,1.11,1,5,5,190319,207.3,63,108853
11366,2948,382440,2.0,7,3,5,382440,228.8,63,382440
133,133,108853,2.8,2,1,5,2948,5.3,63,2948
382440,2948,190319,2.31,3,1,5,382440,192.2,63,382440
153561,11366,257541,2.25,7,2,5,2120,194.9,63,2120
190319,190319,2120,2.36,1,4,5,382440,72.9,63,382440
257541,108853,2948,1.71,8,3,5,2120,285.4,63,2120
382440,44457,133,2.39,6,1,5,133,123.2,63,133
108853,133,190319,1.46,1,4,5,153561,111.0,63,153561
11366,133,11366,1.15,7,1,5,2120,52.5,63,2120
257541,44457,133,2.89,3,4,5,153561,238.4,63,153561
257541,133,257541,2.23,1,5,5,257541,43.9,63,133
2948,2120,382440,1.38,3,5,5,153561,114.4,63,382440
190319,108853,190319,2.0,1,4,5,11366,201.2,63,11366
153561,382440,133,2.21,5,4,5,382440,260.8,63,382440
153561,382440,382440,1.0,1,4,5,257541,273.6,63,257541
11366,108853,2948,0.58,3,5,5,108853,111.2,63,108853
133,2948,44457,1.87,1,4,5,2948,297.5,63,2948
108853,2948,2948,2.82,2,2,5,2120,128.5,63,11366
257541,44457,44457,0.54,3,5,5,382440,89.7,63,11366
153561,382440,133,2.78,8,4,5,190319,216.1,63,2948
11366,257541,153561,1.43,1,3,5,2948,267.0,63,2948
153561,382440,44457,2.58,1,2,5,2948,276.6,63,2948
2948,257541,2120,1.37,2,0,5,257541,231.9,63,257541
382440,133,11366,2.68,3,4,5,382440,214.5,63,382440
2948,44457,257541,2.29,6,2,5,108853,80.2,63,11366
2948,382440,190319,1.08,4,1,5,2948,280.0,63,2948
2120,2120,44457,1.32,1,1,5,382440,97.8,63,382440
44457,153561,190319,1.32,2,2,5,44457,153.0,63,133
11366,108853,133,2.38,3,4,5,108853,236.6,63,133
382440,11366,11366,2.15,1,2,5,382440,287.3,63,153561
257541,2120,108853,1.26,5,2,5,2948,139.4,63,2948
190319,153561,133,1.26,2,2,5,11366,269.2,63,11366
133,2120,382440,1.32,6,1,5,133,205.5,63,133
108853,190319,11366,2.11,1,1,5,2948,192.9,63,11366
257541,44457,44457,2.31,4,1,5,133,187.1,63,133
382440,2948,2948,0.8,2,4,5,44457,142.7,63,153561
190319,2120,44457,2.51,1,3,5,190319,230.5,63,257541
257541,257541,11366,1.98,1,2,5,382440,63.2,63,382440
2120,133,133,2.44,1,4,5,257541,185.0,63,11366
257541,257541,133,2.99,1,5,5,11366,32.2,63,11366
108853,2120,153561,1.08,1,0,5,133,254.4,63,133
153561,190319,44457,2.39,2,3,5,257541,105.3,63,2948
190319,153561,190319,1.86,2,0,5,44457,249.4,63,2948
2120,153561,11366,0.72,5,4,5,190319,28.9,63,108853
11366,153561,11366,2.63,2,4,5,44457,222.1,63,108853
2120,382440,133,1.53,1,5,5,2948,154.3,63,2948
382440,2120,11366,0.5,2,3,5,190319,72.7,63,190319
11366,133,153561,2.26,2,3,5,153561,213.3,63,153561
153561,190319,190319,2.86,2,5,5,2948,249.7,63,2948
108853,257541,153561,1.27,2,3,5,133,230.3,63,190319
2948,257541,108853,1.74,5,0,5,11366,72.9,63,11366
190319,44457,2948,2.26,2,4,5,11366,104.1,63,11366
108853,108853,257541,0.79,6,0,5,2120,128.9,63,2120
257541,257541,11366,1.18,2,0,5,190319,213.6,63,190319
108853,108853,108853,2.53,1,1,5,153561,167.3,63,153561
382440,108853,153561,0.68,7,3,5,2120,47.7,63,2120
2948,2120,108853,1.07,3,3,5,108853,75.1,63,11366
133,133,2948,1.86,1,4,5,2120,239.1,63,190319
382440,153561,2948,2.61,1,1,5,133,211.9,63,133
2948,11366,257541,1.3,2,0,5,108853,264.8,63,108853
11366,133,44457,1.51,1,1,5,108853,100.5,63,108853
2948,257541,133,2.78,5,1,5,153561,2.3,63,153561
11366,257541,382440,2.06,2,5,5,11366,246.8,63,11366
153561,44457,153561,2.46,1,2,5,257541,248.8,63,2948
257541,257541,190319,0.83,2,1,5,153561,88.7,63,153561
382440,153561,108853,1.09,8,1,5,11366,218.9,63,11366
2120,2120,2120,1.36,5,4,5,2120,34.2,63,2120
2120,11366,153561,0.53,1,0,5,382440,165.5,63,382440
44457,153561,44457,2.08,8,0,5,44457,130.1,63,153561
153561,44457,2120,1.55,1,4,5,2948,64.8,63,257541
153561,2948,382440,0.96,5,5,5,190319,18.0,63,190319
2948,2120,44457,1.0,2,4,5,153561,264.8,63,153561
2120,44457,153561,1.0,7,3,5,257541,181.3,63,257541
11366,257541,257541,1.34,2,0,5,382440,91.5,63,382440
382440,190319,153561,2.48,2,2,5,11366,109.5,63,11366
133,11366,190319,1.35,1,5,5,133,97.4,63,153561
382440,44457,108853,2.86,1,0,5,2948,92.5,63,190319
133,133,11366,2.17,5,3,5,44457,15.9,63,153561
257541,44457,108853,2.63,2,5,5,108853,47.2,63,108853
133,153561,108853,0.51,7,4,5,2120,58.7,63,2120
2120,153561,190319,1.36,4,3,5,2120,159.6,63,2120
153561,11366,133,1.01,2,5,5,133,289.8,63,133
108853,2120,44457,2.33,8,1,5,11366,284.3,63,11366
153561,2948,133,1.83,4,3,5,11366,236.2,63,11366
190319,153561,11366,2.93,2,1,5,257541,272.4,63,257541
44457,153561,44457,1.07,3,0,5,257541,295.1,63,257541
257541,108853,44457,1.32,7,5,5,153561,194.3,63,153561
257541,153561,382440,2.15,6,0,5,2120,75.3,63,2120
2120,133,257541,2.87,1,1,5,2948,7.7,63,2948
108853,190319,153561,0.86,5,4,5,190319,299.3,63,190319
2948,382440,11366,1.88,7,1,5,190319,177.8,63,2948
44457,11366,11366,1.0,2,1,5,153561,237.6,63,153561
133,153561,133,0.68,3,1,5,133,203.8,63,153561
108853,2948,133,1.4,5,2,5,133,17.2,63,133
257541,153561,108853,0.57,8,2,5,382440,30.4,63,133
2948,382440,257541,0.79,4,4,5,2948,257.9,63,2948
153561,108853,11366,2.07,1,1,5,2948,54.1,63,2948
382440,133,257541,1.03,1,3,5,2120,275.9,63,11366
2120,2120,190319,2.6,3,5,5,2948,138.0,63,2948
2120,190319,133,2.53,5,0,5,2120,115.1,63,2120
2948,2948,382440,2.59,1,2,5,2948,266.3,63,2948
2120,257541,2948,0.64,8,3,5,190319,149.0,63,190319
108853,133,190319,1.34,5,5,5,382440,213.9,63,11366
190319,2948,11366,0.98,1,3,5,2120,114.3,63,153561
44457,2948,190319,2.64,1,5,5,190319,76.0,63,190319
2120,153561,2120,0.97,1,1,5,153561,290.0,63,153561
153561,133,257541,2.95,1,2,5,11366,6.7,63,133
133,190319,44457,1.96,2,5,5,108853,279.6,63,2948
44457,133,2120,2.23,4,4,5,44457,235.4,63,153561
153561,2948,2948,2.9,3,1,5,133,198.3,63,133
2948,2948,190319,2.13,4,2,5,11366,286.8,63,108853
11366,190319,153561,1.93,1,4,5,190319,186.8,63,190319
44457,2120,190319,2.83,5,3,5,11366,264.2,63,11366
190319,382440,2120,2.71,2,2,5,108853,107.1,63,108853
133,257541,257541,1.95,2,5,5,11366,101.4,63,11366
133,11366,382440,0.61,4,4,5,153561,254.7,63,2120
2120,2120,2948,1.17,1,1,5,44457,289.7,63,257541
2948,44457,133,2.91,2,4,5,2948,273.2,63,2948
153561,190319,257541,2.25,1,2,5,108853,107.1,63,108853
257541,382440,257541,0.67,8,4,5,2120,18.1,63,2120
382440,153561,382440,0.97,1,3,5,11366,17.7,63,11366
11366,257541,190319,2.63,1,0,5,257541,98.2,63,11366
257541,108853,2948,0.83,2,2,5,2948,236.0,63,2948
190319,44457,2120,0.52,1,3,5,2948,64.5,63,2948
2948,2120,108853,2.89,1,1,5,153561,262.2,63,2948
2948,133,11366,3.0,3,0,5,11366,63.9,63,11366
44457,190319,2948,2.1,3,1,5,2948,39.2,63,2948
2948,382440,257541,0.66,1,0,5,133,60.9,63,133
153561,153561,2120,1.8,1,2,5,190319,77.3,63,190319
2948,2948,133,1.48,8,1,5,11366,96.7,63,2948
382440,153561,44457,0.52,1,1,5,11366,281.5,63,11366
257541,153561,2948,2.5,2,0,5,153561,53.5,63,133
153561,190319,11366,0.98,1,3,5,2120,205.8,63,382440
44457,108853,382440,1.31,1,2,5,2948,263.0,63,190319
2948,153561,2120,0.75,2,0,5,257541,248.8,63,11366
153561,44457,44457,1.92,1,1,5,257541,84.0,63,257541
11366,2120,133,2.41,1,3,5,108853,144.6,63,382440
11366,190319,382440,1.11,3,3,5,153561,120.8,63,153561
133,2948,153561,2.25,1,0,5,133,274.6,63,133
382440,108853,108853,1.16,2,3,5,153561,103.2,63,153561
2948,44457,2120,1.32,2,3,5,190319,251.3,63,2948
382440,11366,382440,2.27,1,2,5,11366,22.6,63,382440
257541,11366,44457,2.97,6,5,5,2120,206.1,63,2120
190319,257541,190319,2.67,1,4,5,382440,52.5,63,2948
133,11366,133,1.22,7,2,5,108853,215.6,63,382440
2948,44457,44457,0.89,1,3,5,133,182.9,63,133
382440,108853,44457,2.63,1,3,5,11366,120.0,63,11366
2948,108853,133,2.24,2,3,5,44457,181.9,63,190319
11366,382440,153561,1.73,1,4,5,133,200.3,63,133
382440,44457,2948,1.25,3,0,5,133,64.8,63,190319
133,108853,257541,1.37,2,5,5,2948,272.8,63,2948
44457,257541,44457,2.73,3,3,5,11366,290.5,63,11366
108853,2948,153561,1.16,1,2,5,2948,286.4,63,2948
382440,153561,2948,0.81,3,2,5,190319,257.8,63,190319
382440,44457,382440,0.95,2,0,5,190319,190.0,63,190319
382440,257541,11366,1.44,7,0,5,11366,132.4,63,11366
44457,44457,2948,2.07,8,1,5,11366,76.6,63,11366
257541,382440,153561,1.72,3,1,5,2948,96.5,63,2948
44457,2120,2948,1.95,2,5,5,257541,24.3,63,257541
133,382440,133,2.13,1,3,5,2948,161.5,63,2948
2948,2948,382440,2.93,8,1,5,2120,98.8,63,133
2948,153561,382440,2.59,7,2,5,153561,76.6,63,2120
257541,257541,108853,2.77,1,3,5,382440,117.2,63,382440
44457,133,11366,1.18,2,5,5,257541,144.1,63,153561
190319,11366,108853,0.99,1,3,5,133,58.8,63,133
257541,2120,153561,1.69,1,3,5,108853,113.1,63,2948
190319,2948,44457,0.53,1,4,5,108853,188.3,63,108853
133,44457,11366,1.79,3,3,5,2948,261.4,63,2948
2948,257541,153561,0.53,1,5,5,2120,75.4,63,11366
44457,11366,382440,2.15,1,3,5,44457,140.3,63,190319
257541,2120,257541,2.8,5,0,5,382440,35.8,63,382440
11366,2120,2948,0.88,3,5,5,190319,173.0,63,190319
11366,44457,11366,2.97,2,0,5,153561,112.2,63,2948
2948,382440,190319,0.65,8,1,5,153561,17.1,63,133
257541,153561,108853,1.52,2,3,5,133,14.7,63,11366
382440,44457,11366,2.8,1,3,5,153561,144.1,63,153561
133,108853,190319,2.66,2,3,5,190319,133.6,63,190319
2120,133,153561,2.94,1,4,5,190319,86.8,63,190319
382440,11366,190319,2.62,7,0,5,133,214.7,63,153561
153561,108853,153561,1.06,1,0,5,257541,234.6,63,257541
2120,2948,133,2.9,6,0,5,2948,272.0,63,2948
257541,133,153561,0.83,1,2,5,153561,270.6,63,153561
2120,133,190319,1.32,3,2,5,257541,260.1,63,257541
44457,153561,2120,1.81,3,4,5,133,260.8,63,153561
382440,153561,153561,1.57,2,0,5,190319,4.4,63,190319
108853,153561,153561,2.92,3,3,5,11366,171.7,63,11366
2120,382440,133,1.45,1,5,5,2948,126.9,63,133
2948,2948,257541,2.88,7,2,5,153561,285.2,63,153561
382440,108853,257541,2.15,1,4,5,382440,281.4,63,190319
11366,133,44457,1.52,1,2,5,2948,228.9,63,2948
11366,2120,11366,0.52,4,4,5,2120,181.9,63,2120
108853,133,190319,2.38,3,4,5,133,118.1,63,133
153561,2120,2120,0.59,3,1,5,190319,152.9,63,190319
257541,108853,108853,2.87,3,5,5,108853,287.2,63,108853
382440,153561,44457,1.02,8,1,5,382440,246.1,63,382440
257541,190319,108853,1.98,1,1,5,382440,237.4,63,2948
2948,2120,2948,0.84,4,0,5,257541,154.6,63,257541
153561,257541,2120,2.36,6,2,5,11366,71.5,63,11366
108853,11366,108853,1.81,2,1,5,190319,69.5,63,190319
382440,257541,11366,2.33,2,0,5,11366,261.0,63,11366
108853,11366,11366,1.47,1,5,5,382440,125.7,63,382440
257541,11366,2120,2.54,1,5,5,382440,298.1,63,382440
133,11366,133,1.82,1,5,5,2948,50.0,63,2948
2120,133,133,1.88,1,0,5,153561,289.3,63,153561
11366,190319,133,2.08,1,2,5,190319,182.8,63,133
133,133,11366,2.93,7,2,5,11366,138.4,63,2948
257541,2120,133,1.67,1,3,5,108853,187.8,63,108853
153561,44457,108853,0.78,8,1,5,382440,274.6,63,153561
108853,2948,190319,1.71,1,0,5,108853,127.9,63,108853
382440,108853,382440,2.11,8,3,5,257541,84.5,63,257541
133,11366,257541,2.73,2,0,5,11366,88.3,63,11366
133,153561,190319,0.6,1,2,5,133,212.5,63,257541
44457,190319,44457,0.88,1,1,5,2948,37.9,63,382440
11366,44457,2948,2.9,8,5,5,2948,269.1,63,2948
257541,153561,2120,1.98,3,2,5,108853,46.9,63,108853
2120,11366,2948,1.87,1,1,5,108853,57.7,63,108853
2120,108853,382440,1.59,4,3,5,2948,298.8,63,2948
382440,2948,44457,2.21,3,5,5,257541,30.9,63,257541
44457,190319,44457,1.97,5,3,5,2120,110.6,63,2120
2120,133,108853,2.13,1,4,5,11366,149.6,63,11366
153561,2120,44457,1.05,3,5,5,108853,57.5,63,108853
108853,257541,190319,2.87,6,4,5,2120,0.5,63,2120
190319,11366,190319,2.58,3,5,5,2948,89.8,63,2948
257541,190319,2948,0.94,1,1,5,11366,13.5,63,11366
190319,257541,108853,0.6,4,1,5,108853,63.9,63,108853
11366,133,190319,1.09,1,3,5,133,39.6,63,133
108853,382440,190319,1.92,2,4,5,133,251.7,63,133
2948,44457,382440,2.62,3,3,5,2120,104.3,63,133
257541,153561,190319,1.89,3,0,5,11366,119.7,63,11366
108853,257541,190319,2.4,3,4,5,153561,20.7,63,382440
2120,133,44457,2.36,8,5,5,2120,60.8,63,2120
2948,133,382440,2.34,1,2,5,2948,249.5,63,108853
2120,11366,153561,1.2,1,4,5,2948,111.4,63,2948
2948,382440,153561,1.12,3,2,5,382440,111.5,63,382440
153561,190319,257541,0.98,1,1,5,2948,94.7,63,153561
108853,2948,190319,1.54,2,4,5,257541,26.6,63,133
11366,2948,382440,0.55,1,5,5,11366,223.0,63,11366
11366,2120,382440,2.5,1,0,5,2948,16.3,63,2948
257541,11366,382440,2.49,1,4,5,11366,64.2,63,11366
382440,153561,2120,2.33,3,5,5,382440,211.5,63,382440
11366,11366,257541,2.56,1,1,5,382440,56.5,63,382440
153561,382440,257541,2.71,3,4,5,190319,68.5,63,190319
190319,133,257541,1.35,2,3,5,257541,13.5,63,257541
190319,108853,44457,2.76,3,3,5,108853,82.1,63,108853
257541,108853,153561,2.61,2,2,5,382440,191.5,63,382440
257541,44457,133,2.37,6,4,5,2948,264.0,63,2948
133,153561,133,0.77,1,1,5,153561,136.1,63,153561
11366,2948,11366,1.6,7,4,5,2120,284.7,63,2120
133,2120,153561,1.23,2,3,5,153561,202.9,63,153561
2120,11366,133,1.95,1,4,5,382440,263.1,63,382440
382440,44457,133,1.31,1,1,5,11366,159.8,63,11366
11366,2948,382440,2.98,7,1,5,2120,90.5,63,2120
108853,2120,190319,0.58,1,3,5,153561,49.1,63,153561
2120,190319,2948,1.87,1,3,5,2948,149.7,63,2948
2948,44457,382440,0.97,7,2,5,2948,2.9,63,2948
257541,382440,108853,1.48,7,5,5,2120,83.2,63,2120
2948,2120,153561,1.64,7,3,5,2948,297.3,63,2948
44457,108853,2948,1.65,2,0,5,108853,41.4,63,108853
2120,190319,190319,1.59,6,4,5,190319,37.9,63,133
44457,153561,2120,1.43,3,3,5,257541,299.2,63,11366
2120,108853,2120,0.52,1,2,5,11366,240.2,63,11366
382440,257541,11366,1.84,3,1,5,133,131.4,63,133
2948,2120,44457,1.7,5,5,5,190319,257.9,63,11366
2120,153561,108853,1.97,2,0,5,133,174.8,63,133
190319,382440,44457,1.91,1,5,5,11366,89.4,63,11366
382440,382440,108853,2.71,2,4,5,108853,154.7,63,108853
190319,108853,2120,2.68,1,3,5,133,126.7,63,133
11366,153561,190319,2.79,6,4,5,153561,265.0,63,2948
382440,2948,382440,1.77,1,4,5,108853,80.9,63,108853
133,257541,190319,2.84,1,4,5,2948,164.2,63,2948
44457,2948,190319,2.11,4,3,5,108853,190.1,63,108853
153561,11366,133,2.71,1,2,5,133,286.3,63,133
2120,153561,2120,2.37,3,0,5,2948,191.3,63,2948
153561,108853,2120,1.3,2,3,5,153561,278.2,63,153561
11366,257541,2120,0.63,1,3,5,2948,121.1,63,2948
108853,2120,11366,2.17,3,0,5,11366,58.0,63,257541
2120,44457,2948,2.95,3,0,5,44457,211.3,63,190319
2948,2948,11366,2.82,2,1,5,11366,98.1,63,11366
257541,11366,2120,2.84,6,4,5,153561,119.1,63,153561
11366,108853,2948,0.99,7,0,5,133,293.3,63,2120
108853,11366,44457,0.95,1,1,5,153561,120.7,63,153561
2948,2948,382440,0.72,1,3,5,257541,24.1,63,257541
382440,153561,257541,2.88,8,3,5,190319,19.7,63,190319
11366,133,382440,2.98,1,3,5,2120,190.3,63,133
108853,11366,153561,2.94,3,3,5,2948,223.4,63,2948
44457,11366,133,2.76,6,2,5,2948,181.7,63,2120
190319,2120,2120,2.07,2,2,5,11366,235.9,63,11366
382440,108853,2120,0.84,3,0,5,11366,90.8,63,108853
11366,44457,190319,1.73,7,5,5,382440,295.5,63,108853
382440,108853,108853,1.51,1,3,5,133,224.2,63,133
153561,190319,11366,1.62,8,0,5,108853,112.5,63,108853
11366,11366,382440,1.07,3,5,5,2948,113.7,63,2948
2948,44457,190319,1.97,3,4,5,382440,99.1,63,2948
108853,190319,133,1.85,1,5,5,108853,249.7,63,108853
153561,108853,190319,2.5,1,3,5,382440,83.0,63,382440
190319,190319,133,2.61,8,2,5,190319,147.4,63,190319
44457,11366,2948,2.37,5,1,5,2120,63.1,63,2120
108853,382440,2120,2.11,1,4,5,11366,113.0,63,11366
11366,2948,2948,1.97,4,2,5,2120,15.6,63,2120
11366,257541,190319,1.53,3,0,5,11366,274.3,63,108853
2948,133,257541,1.28,5,1,5,2948,76.0,63,2948
382440,108853,153561,2.69,1,5,5,2948,231.7,63,11366
2948,2948,2948,1.16,2,5,5,2948,151.0,63,2948
257541,382440,190319,1.58,1,3,5,153561,245.8,63,153561
11366,11366,2948,1.16,1,3,5,11366,164.4,63,11366
108853,11366,44457,2.94,6,2,5,11366,113.9,63,11366
257541,2948,190319,2.75,4,3,5,2120,132.7,63,2120
2120,11366,108853,2.68,8,0,5,190319,257.2,63,190319
257541,153561,153561,1.27,1,0,5,190319,273.9,63,257541
108853,44457,153561,2.41,3,0,5,153561,116.4,63,153561
44457,11366,190319,0.73,2,1,5,133,205.1,63,133
153561,11366,2948,2.8,2,4,5,153561,95.6,63,153561
190319,44457,382440,2.25,2,4,5,11366,12.6,63,153561
108853,382440,2120,0.76,3,0,5,190319,10.7,63,153561
257541,190319,2948,0.84,7,1,5,257541,245.6,63,257541
2120,11366,382440,0.99,1,1,5,153561,252.2,63,153561
2120,108853,2948,0.53,1,0,5,133,228.2,63,133
257541,2120,190319,2.68,1,1,5,153561,177.6,63,153561
